TIME	U1(POS IP)	OUT	IN
0	2.48338	2.48516	0
8.00E-08	2.48418	2.48532	0.0008
1.60E-07	2.48498	2.48586	0.0016
3.20E-07	2.48658	2.48799	0.0032
6.40E-07	2.48978	2.49604	0.0064
1.14E-06	2.49338	2.5146	0.01
1.33E-06	2.49338	2.52261	0.01
1.59E-06	2.49338	2.53203	0.01
1.98E-06	2.49338	2.54404	0.01
2.78E-06	2.49338	2.56111	0.01
4.25E-06	2.49338	2.5781	0.01
5.63E-06	2.49338	2.58435	0.01
7.70E-06	2.49338	2.58706	0.01
9.91E-06	2.49338	2.58712	0.01
1.86E-05	2.49338	2.58608	0.01
0.000332973	2.49325	2.58341	0.01
0.001306621	2.49286	2.57562	0.01
0.002604818	2.49233	2.56597	0.01
0.005201212	2.49149	2.54893	0.01
0.010393999	2.4898	2.52236	0.01
0.020779574	2.48744	2.49001	0.01
0.040779574	2.48487	2.46786	0.01
0.060779574	2.48379	2.4685	0.01
0.080779574	2.48356	2.47483	0.01
0.100779574	2.48332	2.48024	0.01
0.120779574	2.48333	2.48341	0.01
0.140779574	2.48333	2.48485	0.01
0.180779574	2.48334	2.48539	0.01
0.240779574	2.48336	2.48533	0.01
0.320779574	2.48338	2.48524	0.01
0.400779574	2.48338	2.48516	0.01
0.460779574	2.48338	2.48516	0.01
0.500001	2.48338	2.48516	0.01
0.5000011	2.48238	2.48462	0.009
0.5000013	2.48038	2.48222	0.007
0.5000017	2.47638	2.47185	0.003
0.5000022	2.47362	2.45317	0
0.500002243	2.47338	2.45155	0
0.50000233	2.47338	2.44819	0
0.500002503	2.47338	2.44146	0
0.500002849	2.47338	2.43023	0
0.500003542	2.47339	2.41359	0
0.500004927	2.47339	2.39477	0
0.500006262	2.47339	2.38715	0
0.500008208	2.47339	2.38354	0
0.500010305	2.47339	2.38315	0
0.500013563	2.47339	2.38358	0
0.500018058	2.47339	2.38418	0
0.500027049	2.4734	2.38426	0
0.500045032	2.4734	2.38443	0
0.500080996	2.47342	2.38476	0
0.500152925	2.47345	2.38543	0
0.500296783	2.4735	2.38659	0
0.500584499	2.47362	2.38892	0
0.501159932	2.47385	2.39357	0
0.502310796	2.47432	2.40225	0
0.504612525	2.47509	2.41778	0
0.509215984	2.47664	2.4427	0
0.5184229	2.47887	2.47481	0
0.536836733	2.48153	2.5006	0
0.556836733	2.48283	2.50258	0
0.576836733	2.48313	2.49675	0
0.596836733	2.48344	2.49092	0
0.616836733	2.48343	2.48737	0
0.636836733	2.48343	2.48567	0
0.656836733	2.48342	2.4853	0
0.676836733	2.48342	2.48494	0
0.696836733	2.48341	2.48496	0
0.716836733	2.48341	2.48498	0
0.736836733	2.4834	2.485	0
0.756836733	2.4834	2.48502	0
0.776836733	2.48339	2.48504	0
0.796836733	2.48339	2.48506	0
0.816836733	2.48338	2.48508	0
0.836836733	2.48338	2.4851	0
0.856836733	2.48338	2.48512	0
0.876836733	2.48338	2.48514	0
0.896836733	2.48338	2.48516	0
0.916836733	2.48338	2.48516	0
0.936836733	2.48338	2.48516	0
0.956836733	2.48338	2.48516	0
0.976836733	2.48338	2.48516	0
0.996836733	2.48338	2.48516	0
1	2.48338	2.48516	0
